name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
Afternoon Run,Run,2023-10-07T00:25:20Z,2,,,9.424595924104006,6422.8,2609,False,,4.804,2257,Run,9.5,7,0,0
Afternoon Run,Run,2023-10-04T22:57:17Z,1,81.5,142.1,8.547609942638625,12882.6,4785,True,163.0,4.997,4105,Run,6.1,11,0,0
Evening Run,Run,2023-10-04T01:06:39Z,1,80.8,137.3,8.788466579292267,9762.2,4633,True,152.0,5.19,3199,Run,16.3,10,0,0
Afternoon Run,Run,2023-10-03T00:13:01Z,2,80.0,129.4,9.018964357767317,2135.5,786,True,143.0,4.48,718,Run,2.0,6,0,0
Evening Run,Run,2023-10-02T02:55:47Z,1,,,7.999522815389203,804.7,240,False,,0,240,Run,0,0,0,0
Afternoon Run,Run,2023-10-01T21:27:10Z,1,85.2,171.3,6.635922810489857,21094.3,5630,True,186.0,17.24,5219,Run,152.1,20,5,4
Morning Run,Run,2023-09-29T14:55:08Z,2,81.4,130.6,9.012903225806452,10443.3,4566,True,148.0,4.284,3509,Run,17.0,10,0,0
Afternoon Run,Run,2023-09-28T00:17:46Z,3,,,8.50424857324033,13075.2,4727,False,,4.983,4146,Run,14.8,6,0,0
Evening Run,Run,2023-09-27T01:19:52Z,2,82.9,146.2,7.963895486935867,9667.5,3229,True,165.0,4.788,2870,Run,45.3,14,1,1
Morning Run,Run,2023-09-25T15:44:32Z,1,84.0,137.6,7.458954393770856,6509.2,2205,True,151.0,6.883,1810,Run,9.0,13,1,0
Lunch Ride,Ride,2023-09-23T18:09:46Z,1,,,3.9997614076946015,119896.0,17880,False,,0,17880,Ride,0,9,0,0
Morning Ride,Ride,2023-09-23T14:25:22Z,8,,125.4,3.905416423995341,69606.6,15225,True,160.0,11.512,10135,Ride,88.3,0,0,0
Evening Workout,Workout,2023-09-22T03:05:29Z,1,,121.8,0.0,0.0,2832,True,155.0,0.0,2832,Workout,0,4,0,0
Evening Run,Run,2023-09-20T01:27:08Z,12,88.0,169.3,5.29563672260612,3267.0,1054,True,201.0,7.614,645,Run,0.0,2,4,0
Evening Run,Run,2023-09-20T01:00:32Z,5,79.8,147.2,7.770104287369641,1608.4,533,True,168.0,4.176,466,Run,0.0,1,0,0
Afternoon Run,Run,2023-09-19T00:14:46Z,4,76.5,130.9,9.089257878685192,7341.9,2758,True,160.0,4.698,2488,Run,10.1,6,0,0
Afternoon Run,Run,2023-09-16T00:13:46Z,3,79.7,140.5,8.472015161086546,3296.0,1098,True,151.0,5.13,1041,Run,6.0,3,0,0
Afternoon Run,Run,2023-09-15T23:45:58Z,1,82.1,137.6,7.9379698135543055,1121.7,440,True,151.0,5.71,332,Run,3.0,3,0,0
Evening Run,Run,2023-09-13T02:18:37Z,4,80.5,145.7,15.667289719626167,2122.4,2368,True,153.0,3.912,1240,Run,0.0,5,0,0
Evening Run,Run,2023-09-13T01:02:31Z,7,,,8.317023255813954,9150.7,4895,False,,6.36,2837,Run,6.0,6,0,0
Afternoon Run,Run,2023-09-12T00:13:31Z,4,80.4,145.3,7.758866068845821,9571.9,3159,True,159.0,5.362,2769,Run,12.3,10,0,0
Afternoon Run,Run,2023-09-09T21:25:37Z,3,79.7,150.0,8.65517909002904,16776.6,6569,True,177.0,5.197,5413,Run,183.0,11,0,0
Evening Run,Run,2023-09-08T03:39:30Z,1,,,8.332525629077354,13196.6,4100,False,,0,4100,Run,0,4,0,0
Afternoon Run,Run,2023-09-07T00:13:57Z,4,,,8.82896642527979,12888.8,4436,False,,4.005,4242,Run,30.0,3,0,0
Evening Run,Run,2023-09-06T02:00:00Z,1,,,7.999522815389203,10460.8,3120,False,,0,3120,Run,0,2,0,0
Evening Run,Run,2023-09-06T01:36:09Z,11,89.3,158.9,6.639207920792079,1640.4,533,True,177.0,7.077,406,Run,0.0,4,1,1
Evening Run,Run,2023-09-05T01:36:53Z,2,,,9.117063222297757,3351.1,1187,False,,5.743,1139,Run,7.3,2,0,0
Evening Run,Run,2023-09-04T02:25:41Z,3,80.1,131.0,9.355563306592257,7917.3,3324,True,145.0,4.85,2762,Run,14.4,4,0,0
Morning Run,Run,2023-09-02T17:19:06Z,6,79.4,131.2,11.06078350515464,6066.2,3473,True,148.0,3.917,2501,Run,327.1,10,5,4
Afternoon Run,Run,2023-09-01T23:52:54Z,7,80.5,146.2,7.881986482515426,9897.2,4421,True,165.0,5.144,2908,Run,24.8,0,1,0
Evening Run,Run,2023-09-01T02:19:18Z,1,80.4,138.2,8.152705167173252,9139.0,3653,True,159.0,5.122,2778,Run,13.7,0,0,0
Afternoon Run,Run,2023-08-29T23:44:05Z,1,81.1,136.9,7.78589259796807,1099.0,406,True,152.0,5.18,319,Run,2.2,0,0,0
Afternoon Run,Run,2023-08-29T00:18:55Z,7,78.1,143.0,8.919986697705355,6682.4,2255,True,154.0,3.848,2222,Run,8.5,0,0,0
Afternoon Bike,Workout,2023-08-27T20:49:54Z,1,,131.2,0.0,0.0,5406,True,153.0,0.0,5406,Workout,0,3,0,0
Afternoon Bike,Workout,2023-08-26T00:20:17Z,1,,142.4,0.0,0.0,3871,True,174.0,0.0,3871,Workout,0,1,0,0
Evening Run,Run,2023-08-25T01:35:01Z,2,79.1,128.3,8.82896642527979,9675.3,3523,True,146.0,4.692,3185,Run,15.7,2,0,0
Evening Run,Run,2023-08-24T01:25:45Z,1,80.6,133.6,8.466666666666667,3228.7,1584,True,151.0,4.41,1019,Run,7.5,3,0,0
Afternoon Run,Run,2023-08-23T00:25:25Z,1,82.8,169.6,6.629362333168562,12882.0,4036,True,193.0,6.112,3184,Run,0.0,6,1,0
Morning Run,Run,2023-08-21T15:26:43Z,1,82.8,152.5,7.446529705719046,9217.9,2847,True,164.0,4.812,2559,Run,12.7,0,0,0
Lunch Run,Run,2023-08-20T18:23:00Z,1,79.8,127.3,10.012094064949608,610.9,290,True,140.0,4.449,228,Run,3.3,0,0,0
